License_Plate,Owner
X8F2J9Q,John Doe
7XZ2A1K,Jane Smith
R4F5G7H,Michael Brown
L9P6Y2N,Sarah Johnson
P3J8V1M,David Miller
F5T7Q6L,Emily Davis
Y9N8D3C,Chris Wilson
B6V2M5J,Anna Martinez
T4Q9P7X,James Garcia
H1F2R6G,Patricia Rodriguez
W8Y6P3V,Robert Hernandez
J2Q5Z8N,Linda Martinez
N9L3T5X,William Lee
F7M2H9P,Barbara Clark
Y6Z8K4J,Richard Lewis
C1V5X7L,Mary Walker
Z4G3N2K,Joseph Hall
K5T9Y8F,Nancy Allen
D3P7L6M,Charles Young
M9N8Q4J,Betty King
L2R6Y3P,Mark Wright
G7V9J1K,Sharon Scott
Q1X8F3Z,Steven Green
P5T7N9D,Susan Adams
X6J3L4Y,Karen Baker
N8K9V7M,Brian Gonzalez
D4F1T6Z,Lisa Perez
K9Y5H8J,Kenneth Roberts
M7P3Q9L,Dorothy Mitchell
L2V6X1R,Paul Carter
G8Z3Y5N,Kevin Turner
Q5M9P7T,Ruth Phillips
V4F2L6J,Ronald Campbell
N1T8K5Q,Deborah Parker
H9P6V3Y,Anthony Evans
R7L2G8Z,Amanda Edwards
Z3K9M5X,Rebecca Collins
J8T7N4P,Kimberly Stewart
T1V6Y9F,Edward Morris
M9F3L7D,Ashley Jenkins
P2K5N8X,Henry Perry
R4J7T1Z,Samuel Rogers
V8L6Y2G,Jennifer Reed
K3N9X4M,Stephen Cook
Q5T1Y7L,Jessica Morgan
F9V2P8D,Bruce Bell
L7G6M3N,Shirley Sanders
Y3P8T4K,Janet Rivera
D5X9L1F,Elizabeth Patterson
G9M7Y6R,Roy Brooks
T2F3N8Z,Raymond Howard
X4L9P7K,Christina Long
V1R6M3Y,Dennis Foster
J9T8L5Q,Kathleen Henderson
P6V7R3X,Peter Ward
Y1M5F2Z,Sally Nguyen
R3X9K8P,Gary Simmons
F7L2V1Y,Carol Cox
D9T4N3M,Martin Butler
N6F8P5J,Jason Bryant
T3Y9X1K,Ralph Rose
L8M2V7Q,Kimberly Foster
P9J3L5N,Billy Foster
Z1K8F6R,Alice Simmons
R7V9N2T,Rachel Powell
K6M3T4X,Frances Ward
N5L8P7J,Brandon Sanders
V9G2Y6F,Gloria Ward
M3T7F5X,Joe Powell
P8X9N6L,Emily Butler
F1V5J2K,Craig Foster
L9G8P7Q,Rita Rose
D6Y4T3M,Joan Dixon
X3P9L7F,Jeffrey Oliver
T5N6M1V,Bonnie Rose
J8K3Y2X,James Bell
N7L9F6R,Tammy Simmons
Q4T8V5J,Daniel Ward
M1R6N3Y,Victoria Rose
P3X7L9V,Andrew Foster
L5V9Y2T,Sean Powell
G2M7X4K,Megan Butler
X8N9P3Q,Gloria Oliver
F9T2L6M,Cheryl Simmons
V4J7K8P,Ralph Dixon
D1M6N3T,Paul Ward
J3Y8P5V,Dawn Foster
T9K4L2X,Susan Butler
R6N7F3G,Ashley Bell
